Origin State,Number of Bird Strikes
Alabama,301
Alaska,186
Alberta,3
Arizona,360
Arkansas,118
British Columbia,12
California,2520
Colorado,664
Connecticut,246
DC,432
Delaware,27
Florida,2055
Georgia,510
Hawaii,729
Idaho,68
Illinois,1008
Indiana,346
Iowa,228
Kansas,100
Kentucky,812
Louisiana,397
Maine,41
Maryland,433
Massachusetts,355
Michigan,678
Minnesota,352
Mississippi,117
Missouri,960
Montana,43
Nebraska,368
Nevada,167
New Hampshire,120
New Jersey,600
New Mexico,94
New York,1319
Newfoundland and Labrador,2
North Carolina,652
North Dakota,87
Ohio,778
Oklahoma,212
Ontario,14
Oregon,391
Pennsylvania,986
Prince Edward Island,83
Puerto Rico,70
Quebec,9
Rhode Island,125
Saskatchewan,1
South Carolina,166
South Dakota,60
Tennessee,655
Texas,2453
Unknown,449
Utah,496
Vermont,36
Virgin Islands,31
Virginia,300
Washington,330
West Virginia,83
Wisconsin,286
Wyoming,34
